旅客列车梯形密度表（ 日均 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  始发日期： 20150108—20150108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K11 ZD074—ZD190-02 开行 1 天 日均定员： 1171 客座率： 81.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD074,ZD219,ZD054,ZD036,ZD313,ZD064,ZD222,ZD023,ZD139,ZD244,ZD215,ZD280,ZD032,ZD066,ZD125,ZD092,ZD205,ZD235,ZD240,ZD134,ZD020,ZD017,ZD304,ZD293,ZD111-02,ZD326,ZD250,下车人数合计,,,,,,,,
下车站,开/到点,13:00,13:41,14:37,15:22,16:30,17:10,17:51,18:26,18:48,19:12,20:15,21:28,22:14,22:45,23:34,00:16,01:50,03:56,05:33,06:15,07:01,07:27,09:09,09:26,10:13,11:51,13:20,,,,,,,,,
ZD074,13:00, ,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,
ZD219,13:39,98, ,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,
ZD054,14:34,56,9, ,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,
ZD036,15:19,12,6,14, ,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,
ZD313,16:19,129,17,90,56, ,,,,,,,,,,,,,,,,,,,,,,,292,,,,,,,,
ZD064,17:08,10,7,1,,68, ,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,
ZD222,17:49,11,3,,2,102,3, ,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,
ZD023,18:24,1,,,,4,,1,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
ZD139,18:46,2,1,,,7,,5,2, ,,,,,,,,,,,,,,,,,,,17,,,,,,,,
ZD244,19:10,2,,2,,5,2,4,14,1, ,,,,,,,,,,,,,,,,,,30,,,,,,,,
ZD215,20:02,43,6,2,1,34,4,34,27,30,25, ,,,,,,,,,,,,,,,,,206,,,,,,,,
ZD280,21:26,9,,1,6,9,1,1,1,,1,9, ,,,,,,,,,,,,,,,,38,,,,,,,,
ZD032,22:11,4,,,,5,,,1,4,,9,, ,,,,,,,,,,,,,,,23,,,,,,,,
ZD066,22:42,4,,,,1,1,,,,,3,,1, ,,,,,,,,,,,,,,10,,,,,,,,
ZD125,23:28,1,2,1,,,,1,,2,1,30,,1,2, ,,,,,,,,,,,,,41,,,,,,,,
ZD092,00:07,5,2,3,,1,1,,1,1,,16,,,,, ,,,,,,,,,,,,30,,,,,,,,
ZD205,01:44,,,,,1,,,3,,,,,,,,, ,,,,,,,,,,,4,,,,,,,,
ZD235,03:53,,,,,2,,,,,,,1,,,1,,, ,,,,,,,,,,4,,,,,,,,
ZD240,05:26,25,3,16,,26,,6,1,2,,17,,2,2,12,4,,11, ,,,,,,,,,127,,,,,,,,
